Block Type	96well																							
Chemistry	SYBR_GREEN																							
Experiment File Name	XXX																							
Experiment Run End Time	XXX																							
Instrument Type	steponeplus																							
Passive Reference	ROX																							
																								
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1
D2	112FL	GAPDH	UNKNOWN	SYBR	None				21.0204925537109	20.9999942779541	0.019939344376326							0	1	1	3	14	1	82.2517395019531
D3	112FL	GAPDH	UNKNOWN	SYBR	None				20.9988269805908	20.9999942779541	0.019939344376326							0	1	1	3	13	1	82.4066314697266
																								
																								
																								
																								
																								
																								
D10	112FL	Hoxc13	UNKNOWN	SYBR	None	0.023181891068816	0.018826257437468	0.028545239940286	31.8692169189453	31.781042098999	0.186244159936905		10.7810459136963	0.108142599463463			5.43085813522339	0	1	1	3	24	1	85.3909149169922
D11	112FL	Hoxc13	UNKNOWN	SYBR	None	0.023181891068816	0.018826257437468	0.028545239940286	31.5670833587646	31.781042098999	0.186244159936905		10.7810459136963	0.108142599463463			5.43085813522339	0	1	1	3	23	1	85.2409210205078
D12	112FL	Hoxc13	UNKNOWN	SYBR	None	0.023181891068816	0.018826257437468	0.028545239940286	31.9068222045898	31.781042098999	0.186244159936905		10.7810459136963	0.108142599463463			5.43085813522339	0	1	1	3	24	1	85.2409210205078
E1	115FL	GAPDH	UNKNOWN	SYBR	None				21.355785369873	21.3935089111328	0.032761689275503							0	1	1	3	11	1	82.2517395019531
E2	115FL	GAPDH	UNKNOWN	SYBR	None				21.4148197174072	21.3935089111328	0.032761689275503							0	1	1	3	14	1	82.2517395019531
E3	115FL	GAPDH	UNKNOWN	SYBR	None				21.4099235534668	21.3935089111328	0.032761689275503							0	1	1	3	14	1	82.2572784423828
																								
																								
																								
																								
																								
																								
E10	115FL	Hoxc13	UNKNOWN	SYBR	None	1	0.943700909614563	1.05965769290924	26.789571762085	26.7436981201172	0.040576867759228		5.3501877784729	0.030109856277704			0	0	1	1	3	19	1	85.3909149169922
E11	115FL	Hoxc13	UNKNOWN	SYBR	None	1	0.943700909614563	1.05965769290924	26.7125053405762	26.7436981201172	0.040576867759228		5.3501877784729	0.030109856277704			0	0	1	1	3	19	1	85.2409210205078
E12	115FL	Hoxc13	UNKNOWN	SYBR	None	1	0.943700909614563	1.05965769290924	26.7290153503418	26.7436981201172	0.040576867759228		5.3501877784729	0.030109856277704			0	0	1	1	3	19	1	85.3902587890625
F1	116FL	GAPDH	UNKNOWN	SYBR	None				21.9718685150146	21.9966983795166	0.022802418097854							0	1	1	3	15	1	82.4010696411133
F2	116FL	GAPDH	UNKNOWN	SYBR	None				22.0166988372803	21.9966983795166	0.022802418097854							0	1	1	3	14	1	82.2517395019531
F3	116FL	GAPDH	UNKNOWN	SYBR	None				22.0015316009521	21.9966983795166	0.022802418097854							0	1	1	3	14	1	82.4066314697266
																								
																								
																								
																								
																								
																								
F10	116FL	Hoxc13	UNKNOWN	SYBR	None	0.016154570505023	0.014920279383659	0.017490968108177	33.2206840515137	33.2988014221191	0.067802481353283		11.3021020889282	0.041300229728222			5.95191383361816	0	1	1	3	26	1	85.3909149169922
F11	116FL	Hoxc13	UNKNOWN	SYBR	None	0.016154570505023	0.014920279383659	0.017490968108177	33.3333396911621	33.2988014221191	0.067802481353283		11.3021020889282	0.041300229728222			5.95191383361816	0	1	1	3	25	1	85.3902587890625
F12	116FL	Hoxc13	UNKNOWN	SYBR	None	0.016154570505023	0.014920279383659	0.017490968108177	33.3423805236816	33.2988014221191	0.067802481353283		11.3021020889282	0.041300229728222			5.95191383361816	0	1	1	3	25	1	85.2409210205078
G1	117FL	GAPDH	UNKNOWN	SYBR	None				20.3215770721436	20.3713359832764	0.043306712061167							0	1	1	3	12	1	82.5503997802734
G2	117FL	GAPDH	UNKNOWN	SYBR	None				20.3919067382812	20.3713359832764	0.043306712061167							0	1	1	3	12	1	82.4010696411133
G3	117FL	GAPDH	UNKNOWN	SYBR	None				20.4005222320557	20.3713359832764	0.043306712061167							0	1	1	3	13	1	82.4066314697266
																								
																								
																								
																								
																								
																								
G10	117FL	Hoxc13	UNKNOWN	SYBR	None	0.02096157707274	0.01701532676816	0.0258230548352	31.0935668945312	31.2976322174072	0.182656794786453		10.9262971878052	0.1083804666996			5.57610893249512	0	1	1	3	23	1	85.5402679443359
G11	117FL	Hoxc13	UNKNOWN	SYBR	None	0.02096157707274	0.01701532676816	0.0258230548352	31.3534965515137	31.2976322174072	0.182656794786453		10.9262971878052	0.1083804666996			5.57610893249512	0	1	1	3	23	1	85.3902587890625
G12	117FL	Hoxc13	UNKNOWN	SYBR	None	0.02096157707274	0.01701532676816	0.0258230548352	31.4458332061768	31.2976322174072	0.182656794786453		10.9262971878052	0.1083804666996			5.57610893249512	0	1	1	3	23	1	85.3902587890625
H1	118FL	GAPDH	UNKNOWN	SYBR	None				20.7632751464844	20.7942218780518	0.050045683979988							0	1	1	3	13	1	82.5503997802734
H2	118FL	GAPDH	UNKNOWN	SYBR	None				20.8519592285156	20.7942218780518	0.050045683979988							0	1	1	3	13	1	82.5503997802734
H3	118FL	GAPDH	UNKNOWN	SYBR	None				20.7674293518066	20.7942218780518	0.050045683979988							0	1	1	3	13	1	82.4066314697266
																								
																								
																								
																								
																								
																								
H10	118FL	Hoxc13	UNKNOWN	SYBR	None	0.02092326618731	0.012560529634357	0.034853871911764	32.2055816650391	31.7231578826904	0.456541210412979		10.9289360046387	0.265163123607635			5.57874822616577	0	1	1	3	24	1	85.3909149169922
H11	118FL	Hoxc13	UNKNOWN	SYBR	None	0.02092326618731	0.012560529634357	0.034853871911764	31.6660099029541	31.7231578826904	0.456541210412979		10.9289360046387	0.265163123607635			5.57874822616577	0	1	1	3	24	1	85.3902587890625
H12	118FL	Hoxc13	UNKNOWN	SYBR	None	0.02092326618731	0.012560529634357	0.034853871911764	31.2978801727295	31.7231578826904	0.456541210412979		10.9289360046387	0.265163123607635			5.57874822616577	0	1	1	3	23	1	85.3902587890625
 
