Block Type	96well																													
Chemistry	SYBR_GREEN																													
Experiment File Name	XXX																													
Experiment Run End Time	XXX																													
Instrument Type	steponeplus																													
Passive Reference	ROX																													
																														
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	AMPNC	HIGHSD	MTP
E10	76FL	Hoxc13	UNKNOWN	SYBR	None	0.007714335806668	0.004380722995847	0.013584739528596	36.5379486083984	36.3437690734863	0.630135476589203		9.85147190093994	0.366392344236374			7.01824235916138	0	1	1	3	28	1	85.3920593261719				N	Y	N
E11	76FL	Hoxc13	UNKNOWN	SYBR	None	0.007714335806668	0.004380722995847	0.013584739528596	36.8539657592773	36.3437690734863	0.630135476589203		9.85147190093994	0.366392344236374			7.01824235916138	0	1	1	3	29	1	85.3927764892578				N	Y	N
E12	76FL	Hoxc13	UNKNOWN	SYBR	None	0.007714335806668	0.004380722995847	0.013584739528596	35.6394004821777	36.3437690734863	0.630135476589203		9.85147190093994	0.366392344236374			7.01824235916138	0	1	1	3	28	1	85.2434387207031				N	Y	N
F1	77FL	GAPDH	UNKNOWN	SYBR	None				23.2135925292969	23.2246875762939	0.009834378957748							0	1	1	3	16	1	82.4034042358398				N	N	N
F2	77FL	GAPDH	UNKNOWN	SYBR	None				23.2323303222656	23.2246875762939	0.009834378957748							0	1	1	3	15	1	82.4034042358398				N	N	N
F3	77FL	GAPDH	UNKNOWN	SYBR	None				23.2281398773193	23.2246875762939	0.009834378957748							0	1	1	3	16	1	82.4075164794922				N	N	N
																														
																														
																														
																														
																														
																														
F10	77FL	Hoxc13	UNKNOWN	SYBR	None	0.008797263726592	0.005981143563986	0.012939306907356	34.9764709472656	35.4413452148437	0.425194591283798		9.66195964813232	0.249819934368134			6.8287296295166	0	1	1	3	27	1	85.541389465332				N	N	N
F11	77FL	Hoxc13	UNKNOWN	SYBR	None	0.008797263726592	0.005981143563986	0.012939306907356	35.8105659484863	35.4413452148437	0.425194591283798		9.66195964813232	0.249819934368134			6.8287296295166	0	1	1	3	28	1	85.3927764892578				N	N	N
F12	77FL	Hoxc13	UNKNOWN	SYBR	None	0.008797263726592	0.005981143563986	0.012939306907356	35.536994934082	35.4413452148437	0.425194591283798		9.66195964813232	0.249819934368134			6.8287296295166	0	1	1	3	28	1	85.2434387207031				N	N	N
G1	81FL	GAPDH	UNKNOWN	SYBR	None				23.7374858856201	23.7385005950928	0.004382450133562							0	1	1	3	16	1	82.4034042358398				N	N	N
G2	81FL	GAPDH	UNKNOWN	SYBR	None				23.7433013916016	23.7385005950928	0.004382450133562							0	1	1	3	16	1	82.4034042358398				N	N	N
G3	81FL	GAPDH	UNKNOWN	SYBR	None				23.7347145080566	23.7385005950928	0.004382450133562							0	1	1	3	16	1	82.4075164794922				N	N	N
																														
																														
																														
																														
																														
																														
G10	81FL	Hoxc13	UNKNOWN	SYBR	None	0.7208212018013	0.641969263553619	0.809358358383179	29.0971393585205	29.162239074707	0.109521329402924		3.30551648139954	0.075012028217316			0.472286641597748	0	1	1	3	21	1	85.541389465332				N	N	N
G11	81FL	Hoxc13	UNKNOWN	SYBR	None	0.7208212018013	0.641969263553619	0.809358358383179	29.1008930206299	29.162239074707	0.109521329402924		3.30551648139954	0.075012028217316			0.472286641597748	0	1	1	3	21	1	85.3927764892578				N	N	N
G12	81FL	Hoxc13	UNKNOWN	SYBR	None	0.7208212018013	0.641969263553619	0.809358358383179	29.2886848449707	29.162239074707	0.109521329402924		3.30551648139954	0.075012028217316			0.472286641597748	0	1	1	3	21	1	85.3927764892578				N	N	N
H1		GAPDH	NTC	SYBR	None				38.7969093322754	38.7000007629395	0.137049406766891							0	1	1	3	31	1	77.9240417480469				N	N	N
H2		GAPDH	NTC	SYBR	None				38.6030921936035	38.7000007629395	0.137049406766891							0	1	1	3	31	1	77.9240417480469				N	N	N
																														
																														
																														
																														
H7		Hoxc13	NTC	SYBR	None				Undetermined									0	1	1	3	35	1	77.9227142333984	61.3482704162598	72.3979034423828		N	N	Y
H8		Hoxc13	NTC	SYBR	None				Undetermined									0	1	1	3	34	1	77.7733993530273				N	N	N
 
