Block Type	96well																			
Chemistry	SYBR_GREEN																			
Experiment File Name	XXX																			
Experiment Run End Time	XXX																			
Instrument Type	steponeplus																			
Passive Reference	ROX																			
																				
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments
D8	S20C	GAPDH	STANDARD	SYBR	None	23.9900226593018	23.9886856079102	0.002970359288156	0.25			0	1	1	3	17	82.2551574707031			
D9																				
D10																				
D11																				
D12																				
E1																				
E2																				
E3	S2C	GAPDH	STANDARD	SYBR	None	24.8506374359131	24.8464202880859	0.035958215594292	0.125			0	1	1	3	17	82.4032592773438			
E4	S2C	GAPDH	STANDARD	SYBR	None	24.8800849914551	24.8464202880859	0.035958215594292	0.125			0	1	1	3	17	82.4032592773438			
E5	S2C	GAPDH	STANDARD	SYBR	None	24.8085403442383	24.8464202880859	0.035958215594292	0.125			0	1	1	3	17	82.2545013427734			
E6	S20C	GAPDH	STANDARD	SYBR	None	25.0098495483398	25.078161239624	0.060040254145861	0.125			0	1	1	3	17	82.2545013427734			
E7	S20C	GAPDH	STANDARD	SYBR	None	25.102071762085	25.078161239624	0.060040254145861	0.125			0	1	1	3	17	82.2551574707031			
E8	S20C	GAPDH	STANDARD	SYBR	None	25.1225624084473	25.078161239624	0.060040254145861	0.125			0	1	1	3	18	82.4045257568359			
E9																				
E10																				
E11																				
E12																				
F1																				
F2																				
F3	S2C	GAPDH	STANDARD	SYBR	None	25.9115219116211	25.8837814331055	0.062762573361397	0.0625			0	1	1	3	18	82.2538986206055			
F4	S2C	GAPDH	STANDARD	SYBR	None	25.9278926849365	25.8837814331055	0.062762573361397	0.0625			0	1	1	3	19	82.4032592773438			
F5	S2C	GAPDH	STANDARD	SYBR	None	25.8119277954102	25.8837814331055	0.062762573361397	0.0625			0	1	1	3	18	82.2545013427734			
F6	S20C	GAPDH	STANDARD	SYBR	None	26.0049819946289	26.0274143218994	0.023615274578333	0.0625			0	1	1	3	19	82.2545013427734			
F7	S20C	GAPDH	STANDARD	SYBR	None	26.0252056121826	26.0274143218994	0.023615274578333	0.0625			0	1	1	3	19	82.2551574707031			
F8	S20C	GAPDH	STANDARD	SYBR	None	26.0520572662354	26.0274143218994	0.023615274578333	0.0625			0	1	1	3	18	82.2551574707031			
F9																				
F10																				
F11																				
F12																				
G1																				
G2																				
G3	S2C	GAPDH	STANDARD	SYBR	None	27.1491374969482	27.1566677093506	0.019670579582453	0.03125			0	1	1	3	20	82.4032592773438			
G4	S2C	GAPDH	STANDARD	SYBR	None	27.1418724060059	27.1566677093506	0.019670579582453	0.03125			0	1	1	3	19	82.4032592773438			
G5	S2C	GAPDH	STANDARD	SYBR	None	27.1789894104004	27.1566677093506	0.019670579582453	0.03125			0	1	1	3	20	82.2545013427734			
G6	S20C	GAPDH	STANDARD	SYBR	None	27.3940296173096	27.5134658813477	0.195325583219528	0.03125			0	1	1	3	20	82.2545013427734			
G7	S20C	GAPDH	STANDARD	SYBR	None	27.4074935913086	27.5134658813477	0.195325583219528	0.03125			0	1	1	3	20	82.2551574707031			
G8	S20C	GAPDH	STANDARD	SYBR	None	27.7388744354248	27.5134658813477	0.195325583219528	0.03125			0	1	1	3	20	82.1057891845703			
G9																				
G10		GAPDH	NTC	SYBR	None	34.9429168701172	33.3416442871094	2.26454138755798				0	1	1	3	27	78.2211608886719			
G11		GAPDH	NTC	SYBR	None	31.7403717041016	33.3416442871094	2.26454138755798				0	1	1	3	24	78.0730209350586			
G12																				
H1																				
H2																				
H3																				
H4																				
H5																				
H6																				
H7																				
H8																				
H9																				
H10																				
H11																				
H12																				 
