Block Type	96well																												
Chemistry	SYBR_GREEN																												
Experiment File Name	XXX																												
Experiment Run End Time	XXX																												
Instrument Type	steponeplus																												
Passive Reference	ROX																												
																													
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	HIGHSD	MTP
C1	40FL	GAPDH	UNKNOWN	SYBR	None				23.0882549285889	23.0970134735107	0.010051675140858							0	1	1	3	16	1	82.4021072387695				N	N
C2	40FL	GAPDH	UNKNOWN	SYBR	None				23.1079883575439	23.0970134735107	0.010051675140858							0	1	1	3	16	1	82.4021072387695				N	N
C3	40FL	GAPDH	UNKNOWN	SYBR	None				23.0947971343994	23.0970134735107	0.010051675140858							0	1	1	3	16	1	82.5562973022461				N	N
																													
																													
																													
																													
																													
																													
C10	40FL	Hoxc13	UNKNOWN	SYBR	None	0.684659600257874	0.620485544204712	0.755470871925354	29.8582057952881	29.84889793396	0.088006086647511		6.75188255310059	0.051140680909157			0.546541213989258	0	1	1	3	22	1	85.5404968261719				N	N
C11	40FL	Hoxc13	UNKNOWN	SYBR	None	0.684659600257874	0.620485544204712	0.755470871925354	29.7566051483154	29.84889793396	0.088006086647511		6.75188255310059	0.051140680909157			0.546541213989258	0	1	1	3	22	1	85.3902740478516				N	N
C12	40FL	Hoxc13	UNKNOWN	SYBR	None	0.684659600257874	0.620485544204712	0.755470871925354	29.9318771362305	29.84889793396	0.088006086647511		6.75188255310059	0.051140680909157			0.546541213989258	0	1	1	3	22	1	85.5396118164063				N	N
D1	14FL	GAPDH	UNKNOWN	SYBR	None				23.1853637695312	23.1934413909912	0.009613817557693							0	1	1	3	16	1	82.4021072387695				N	N
D2	14FL	GAPDH	UNKNOWN	SYBR	None				23.2040748596191	23.1934413909912	0.009613817557693							0	1	1	3	16	1	82.4021072387695				N	N
D3	14FL	GAPDH	UNKNOWN	SYBR	None				23.1908855438232	23.1934413909912	0.009613817557693							0	1	1	3	16	1	82.5562973022461				N	N
																													
																													
																													
																													
																													
																													
D10	14FL	Hoxc13	UNKNOWN	SYBR	None	0.704224944114685	0.671270668506622	0.738797008991241	29.9025630950928	29.9046764373779	0.042048178613186		6.71123313903809	0.024902977049351			0.505891799926758	0	1	1	3	22	1	85.5404968261719				N	N
D11	14FL	Hoxc13	UNKNOWN	SYBR	None	0.704224944114685	0.671270668506622	0.738797008991241	29.9477386474609	29.9046764373779	0.042048178613186		6.71123313903809	0.024902977049351			0.505891799926758	0	1	1	3	22	1	85.3902740478516				N	N
D12	14FL	Hoxc13	UNKNOWN	SYBR	None	0.704224944114685	0.671270668506622	0.738797008991241	29.8637218475342	29.9046764373779	0.042048178613186		6.71123313903809	0.024902977049351			0.505891799926758	0	1	1	3	22	1	85.3902740478516				N	N
E1	15FL	GAPDH	UNKNOWN	SYBR	None				23.3913021087646	23.4165802001953	0.024730192497373							0	1	1	3	16	1	82.4021072387695				N	N
E2	15FL	GAPDH	UNKNOWN	SYBR	None				23.4177150726318	23.4165802001953	0.024730192497373							0	1	1	3	16	1	82.4021072387695				N	N
E3	15FL	GAPDH	UNKNOWN	SYBR	None				23.4407234191895	23.4165802001953	0.024730192497373							0	1	1	3	16	1	82.5562973022461				N	N
																													
																													
																													
																													
																													
																													
E10	15FL	Hoxc13	UNKNOWN	SYBR	None	0.827460765838623	0.745211660861969	0.918787658214569	29.9909381866455	29.8951587677002	0.090921603143215		6.47857856750488	0.054400734603405			0.273237228393555	0	1	1	3	22	1	85.5404968261719				N	N
E11	15FL	Hoxc13	UNKNOWN	SYBR	None	0.827460765838623	0.745211660861969	0.918787658214569	29.8100337982178	29.8951587677002	0.090921603143215		6.47857856750488	0.054400734603405			0.273237228393555	0	1	1	3	22	1	85.5396118164063				N	N
E12	15FL	Hoxc13	UNKNOWN	SYBR	None	0.827460765838623	0.745211660861969	0.918787658214569	29.8845043182373	29.8951587677002	0.090921603143215		6.47857856750488	0.054400734603405			0.273237228393555	0	1	1	3	22	1	85.3902740478516				N	N
F1	16FL	GAPDH	UNKNOWN	SYBR	None				22.8297462463379	22.8149108886719	0.013405129313469							0	1	1	3	15	1	82.5514526367187				N	N
F2	16FL	GAPDH	UNKNOWN	SYBR	None				22.8036689758301	22.8149108886719	0.013405129313469							0	1	1	3	16	1	82.5514526367187				N	N
F3	16FL	GAPDH	UNKNOWN	SYBR	None				22.811315536499	22.8149108886719	0.013405129313469							0	1	1	3	15	1	82.5562973022461				N	N
																													
																													
																													
																													
																													
																													
F10	16FL	Hoxc13	UNKNOWN	SYBR	None	0.769498705863953	0.645163953304291	0.917795062065125	29.5807437896728	29.3982601165771	0.158045142889023		6.58335065841675	0.091575041413307			0.378009170293808	0	1	1	3	22	1	85.6898498535156				N	N
F11	16FL	Hoxc13	UNKNOWN	SYBR	None	0.769498705863953	0.645163953304291	0.917795062065125	29.3052234649658	29.3982601165771	0.158045142889023		6.58335065841675	0.091575041413307			0.378009170293808	0	1	1	3	21	1	85.5396118164063				N	N
F12	16FL	Hoxc13	UNKNOWN	SYBR	None	0.769498705863953	0.645163953304291	0.917795062065125	29.3088150024414	29.3982601165771	0.158045142889023		6.58335065841675	0.091575041413307			0.378009170293808	0	1	1	3	21	1	85.5396118164063				N	N
G1	47FL	GAPDH	UNKNOWN	SYBR	None				25.2825794219971	25.3278045654297	0.039211113005877							0	1	1	3	18	1	82.5514526367187				N	N
G2	47FL	GAPDH	UNKNOWN	SYBR	None				25.348539352417	25.3278045654297	0.039211113005877							0	1	1	3	17	1	82.5514526367187				N	N
G3	47FL	GAPDH	UNKNOWN	SYBR	None				25.352294921875	25.3278045654297	0.039211113005877							0	1	1	3	18	1	82.5562973022461				N	N
																													
																													
																													
																													
																													
																													
G10	47FL	Hoxc13	UNKNOWN	SYBR	None	0.022669089958072	0.010525717400014	0.048822101205587	36.7852821350098	36.9962768554687	0.689354121685028		11.6684713363647	0.398642122745514			5.46312952041626	0	1	1	3	29	1	85.6898498535156				Y	N
G11	47FL	Hoxc13	UNKNOWN	SYBR	None	0.022669089958072	0.010525717400014	0.048822101205587	36.4370765686035	36.9962768554687	0.689354121685028		11.6684713363647	0.398642122745514			5.46312952041626	0	1	1	3	29	1	85.5396118164063				Y	N
G12	47FL	Hoxc13	UNKNOWN	SYBR	None	0.022669089958072	0.010525717400014	0.048822101205587	37.7664680480957	36.9962768554687	0.689354121685028		11.6684713363647	0.398642122745514			5.46312952041626	0	1	1	3	30	1	85.6889495849609				Y	N
H1		GAPDH	NTC	SYBR	None				38.0121459960937	38.3043327331543	0.413214445114136							0	1	1	3	31	1	77.7722778320313				N	N
H2		GAPDH	NTC	SYBR	None				38.5965194702148	38.3043327331543	0.413214445114136							0	1	1	3	31	1	78.3696746826172				N	N
																													
																													
																													
																													
H7		Hoxc13	NTC	SYBR	None				Undetermined									0	1	1	3	39	1	61.3478012084961				N	N
H8		Hoxc13	NTC	SYBR	None				Undetermined									0	1	1	3	39	1	61.3478012084961				N	N
 
